Signal,f0,f_left_m3dB,f_right_m3dB,BW_m3dB,Peak_dB,Peak_freq
x(n),0.0078125,-0.0083560792928681,-0.00731894525673135,0.00103713403613675,-15.0092792287948,-0.0078125
x(n),0.0625,0.0619760744602059,0.0630133717134744,0.00103729725326853,-14.9958231696811,0.0625
y(n),0.015625,0.0151348529594504,0.0160039011015235,0.00086904814207304,-6.38036132869421,0.015625
